epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0335,1.5711,1.90735,1.24007,0.49363,0.39791,0.37875,0.18431,1.72667,1.95128,1.5283,0.000414062,0.000414062,0.000414062
2,62.1187,1.51179,1.27284,1.20125,0.37258,0.4047,0.34974,0.16415,1.85946,2.34715,1.76402,0.000819764,0.000819764,0.000819764
3,88.9988,1.50386,1.25151,1.20694,0.28535,0.28774,0.18012,0.0799,1.98673,3.11586,1.6848,0.00121446,0.00121446,0.00121446
4,116.448,1.4567,1.21134,1.18886,0.40677,0.36025,0.30569,0.14886,1.90082,2.2264,1.61846,0.0012005,0.0012005,0.0012005
5,144.802,1.40546,1.09221,1.16709,0.42772,0.36983,0.32068,0.15949,1.82003,2.27005,1.61005,0.001184,0.001184,0.001184
6,164.768,1.3319,1.04215,1.13063,0.41385,0.39136,0.31204,0.15637,1.77959,2.26799,1.56027,0.0011675,0.0011675,0.0011675
7,199.206,1.26923,0.95749,1.10149,0.48529,0.41481,0.40147,0.20095,1.77662,1.84742,1.64179,0.001151,0.001151,0.001151
8,242.082,1.23668,0.92281,1.08603,0.61872,0.45836,0.49102,0.2478,1.71927,1.65658,1.60857,0.0011345,0.0011345,0.0011345
9,273.406,1.15714,0.85116,1.06554,0.50651,0.44163,0.43341,0.22499,1.69098,1.79397,1.54261,0.001118,0.001118,0.001118
10,293.483,1.1456,0.83972,1.05677,0.58267,0.46738,0.48752,0.25493,1.71207,1.69709,1.53881,0.0011015,0.0011015,0.0011015
11,313.594,1.1069,0.8013,1.04335,0.58917,0.45718,0.47368,0.25327,1.64972,1.76656,1.5028,0.001085,0.001085,0.001085
12,333.392,1.09334,0.80939,1.03415,0.60286,0.44433,0.48475,0.25729,1.63551,1.65017,1.52634,0.0010685,0.0010685,0.0010685
13,353.489,1.06976,0.75847,1.02544,0.64766,0.49046,0.54288,0.28523,1.55199,1.38988,1.46322,0.001052,0.001052,0.001052
14,373.365,1.04936,0.7552,1.02893,0.69153,0.52051,0.57624,0.29164,1.60119,1.46849,1.50449,0.0010355,0.0010355,0.0010355
15,393.797,1.02914,0.73083,1.01596,0.57808,0.49481,0.49764,0.26392,1.60478,1.70347,1.51343,0.001019,0.001019,0.001019
16,414.151,0.99616,0.7137,1.00732,0.66751,0.50776,0.56336,0.30395,1.56634,1.45159,1.42166,0.0010025,0.0010025,0.0010025
17,434.813,0.99477,0.7168,1.00802,0.66999,0.53895,0.57338,0.30751,1.60248,1.42295,1.49803,0.000986,0.000986,0.000986
18,456.029,0.97402,0.68509,1.00007,0.69975,0.48414,0.55569,0.30604,1.57118,1.47075,1.4609,0.0009695,0.0009695,0.0009695
19,477.023,0.95144,0.67988,0.99042,0.59327,0.50852,0.53175,0.28718,1.55183,1.43552,1.45969,0.000953,0.000953,0.000953
20,497.547,0.94969,0.66957,0.98763,0.63929,0.55465,0.60573,0.32884,1.52297,1.27255,1.44365,0.0009365,0.0009365,0.0009365
21,518.811,0.93103,0.64204,0.9877,0.659,0.54757,0.60002,0.31924,1.53771,1.30807,1.45475,0.00092,0.00092,0.00092
22,539.893,0.91169,0.62202,0.97138,0.65627,0.54522,0.59281,0.31015,1.57051,1.22247,1.49142,0.0009035,0.0009035,0.0009035
23,560.747,0.89156,0.63508,0.9669,0.6712,0.52193,0.57866,0.31169,1.49168,1.30878,1.44651,0.000887,0.000887,0.000887
24,581.773,0.88487,0.62306,0.96578,0.68421,0.58802,0.62535,0.3362,1.49037,1.24631,1.43495,0.0008705,0.0008705,0.0008705
25,602.722,0.86884,0.59808,0.96588,0.61482,0.5294,0.55504,0.29703,1.56467,1.39715,1.49999,0.000854,0.000854,0.000854
26,623.656,0.85198,0.59096,0.95622,0.69244,0.53299,0.59418,0.32234,1.51742,1.40002,1.43599,0.0008375,0.0008375,0.0008375
27,645.027,0.85667,0.59508,0.96485,0.67622,0.5654,0.62545,0.34291,1.52904,1.25131,1.4436,0.000821,0.000821,0.000821
28,665.9,0.84897,0.58473,0.95666,0.64231,0.55602,0.57861,0.3201,1.52451,1.31239,1.46246,0.0008045,0.0008045,0.0008045
29,686.69,0.84243,0.58202,0.95533,0.67368,0.59489,0.6298,0.34007,1.48821,1.2495,1.42497,0.000788,0.000788,0.000788
30,707.615,0.82368,0.57288,0.95983,0.66377,0.63623,0.64549,0.36077,1.43747,1.15975,1.41757,0.0007715,0.0007715,0.0007715
31,728.594,0.82443,0.55949,0.94995,0.67719,0.62458,0.65649,0.36229,1.44762,1.14054,1.42178,0.000755,0.000755,0.000755
32,749.26,0.81688,0.56739,0.95222,0.69587,0.61572,0.65192,0.34912,1.47783,1.18857,1.43203,0.0007385,0.0007385,0.0007385
33,770.305,0.80798,0.55518,0.9508,0.71309,0.59349,0.65897,0.35934,1.47647,1.09261,1.41189,0.000722,0.000722,0.000722
34,791.113,0.77636,0.52545,0.93897,0.70397,0.58315,0.63283,0.34652,1.48624,1.23865,1.41851,0.0007055,0.0007055,0.0007055
35,811.849,0.7637,0.52202,0.93764,0.74125,0.59309,0.65139,0.35833,1.43968,1.16186,1.41745,0.000689,0.000689,0.000689
36,840.687,0.76583,0.52551,0.93623,0.68447,0.59553,0.63663,0.35216,1.45278,1.10857,1.41489,0.0006725,0.0006725,0.0006725
37,883.383,0.75286,0.52693,0.93472,0.73084,0.60068,0.65217,0.35628,1.47574,1.1368,1.42781,0.000656,0.000656,0.000656
38,929.487,0.75483,0.52106,0.93286,0.76786,0.59009,0.66543,0.36693,1.41381,1.10911,1.38457,0.0006395,0.0006395,0.0006395
39,972.64,0.74835,0.51059,0.93244,0.7121,0.58761,0.62053,0.35593,1.44453,1.26802,1.37718,0.000623,0.000623,0.000623
40,1015.7,0.73744,0.50155,0.93282,0.73658,0.59641,0.65314,0.35363,1.51407,1.17415,1.43626,0.0006065,0.0006065,0.0006065
41,1057.82,0.72969,0.4906,0.92173,0.75722,0.56485,0.64591,0.36236,1.4206,1.18128,1.40026,0.00059,0.00059,0.00059
42,1090.11,0.7124,0.49202,0.92448,0.73349,0.61472,0.65411,0.36163,1.42466,1.12976,1.38006,0.0005735,0.0005735,0.0005735
43,1110.18,0.72219,0.49167,0.92597,0.69983,0.60728,0.65642,0.36169,1.46059,1.14839,1.4135,0.000557,0.000557,0.000557
44,1130.11,0.71565,0.47964,0.92104,0.72147,0.61375,0.67612,0.37731,1.49205,1.10796,1.41012,0.0005405,0.0005405,0.0005405
45,1150.56,0.69952,0.47591,0.91498,0.75364,0.59196,0.6762,0.38098,1.40367,1.04073,1.3845,0.000524,0.000524,0.000524
46,1171.35,0.70327,0.47904,0.91534,0.71667,0.61623,0.67113,0.37211,1.46781,1.10794,1.39906,0.0005075,0.0005075,0.0005075
47,1192.91,0.6902,0.46434,0.91076,0.77015,0.6081,0.68936,0.38616,1.43446,1.07042,1.38906,0.000491,0.000491,0.000491
48,1213.88,0.69704,0.46808,0.91958,0.69375,0.62536,0.67618,0.37912,1.44502,1.09179,1.39506,0.0004745,0.0004745,0.0004745
49,1234.96,0.66398,0.45,0.90344,0.76742,0.62913,0.6957,0.38747,1.42289,1.04825,1.38579,0.000458,0.000458,0.000458
50,1255.71,0.67605,0.45442,0.91906,0.80881,0.61644,0.69127,0.38497,1.42555,1.04776,1.39236,0.0004415,0.0004415,0.0004415
51,1276.7,0.6666,0.44827,0.9147,0.7628,0.63294,0.6974,0.39105,1.41689,1.05828,1.37712,0.000425,0.000425,0.000425
52,1297.86,0.65866,0.44823,0.91238,0.76284,0.6331,0.68754,0.38854,1.40611,1.05934,1.37795,0.0004085,0.0004085,0.0004085
53,1318.67,0.63763,0.42812,0.90298,0.71535,0.6389,0.68943,0.38845,1.40203,1.04889,1.36074,0.000392,0.000392,0.000392
